"사망원인별(104항목)","성별","연령(5세)별","항목","단위","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"계","계","40 - 44세","사망률[십만명당]","십만명당","203.7","186.6","172","169.9","162.5","161.6","156.5","146.4","138.4","137.6","129.8","125.5","122","114","114","109.4","107.5","107.4","114.7",
"계","계","45 - 49세","사망자수[명]","명","11862","11809","11528","11481","11274","10970","10689","9770","9411","8996","8757","8624","8192","8022","8071","7701","7419","7005","6971",
"계","계","45 - 49세","사망률[십만명당]","십만명당","313.4","296.2","275.8","265.2","257.4","251.1","247.9","231.7","226.9","214.4","203.6","197.2","183.6","176.9","178.1","171.9","169.4","165.7","170.9",
"계","계","50 - 54세","사망자수[명]","명","12205","12236","12742","12588","13072","13988","14117","14436","14248","14105","13628","12609","11927","11260","11207","11096","10802","10660","11176",
"계","계","50 - 54세","사망률[십만명당]","십만명당","463.1","432.4","413.1","381.6","372.9","374.1","357.8","348.6","332.2","325.3","315.3","295.6","285.9","274.3","269.7","260.5","249.4","241","248.6",
"계","계","55 - 59세","사망자수[명]","명","14054","13750","13904","13725","13689","13394","14187","14853","15138","15649","16167","16144","16688","16431","16667","16195","15588","14753","15165",
"계","계","55 - 59세","사망률[십만명당]","십만명당","653.8","611.1","597.5","571.2","550.6","518.1","510.1","489.4","466.1","453.6","439.5","415.8","409.4","389","390","380.2","370.5","358.2","374.1",
"계","계","60 - 64세","사망자수[명]","명","20817","19583","17612","16634","15799","16113","16397","16557","16311","16230","15888","16696","17831","17721","18793","19261","19894","20960","22683",
"계","계","60 - 64세","사망률[십만명당]","십만명당","1030.7","980.2","892.5","849.2","790.5","772","749.2","731","696.9","669.8","630.2","614.9","601.3","558","556.6","534.8","522.9","524.3","547.4",
"계","계","65 - 69세","사망자수[명]","명","27077","26458","25942","25880","25343","24020","23371","21751","20533","19466","19521","19900","20332","19942","20397","20181","21201","23497","26315",
"계","계","65 - 69세","사망률[십만명당]","십만명당","1670.2","1577.8","1500.7","1413.7","1326.1","1251.7","1227.3","1153.6","1093.9","1013.7","971.8","943.4","930.2","881.6","869.5","825.8","804.4","815.3","852.3",
"계","계","70 - 74세","사망자수[명]","명","29915","30388","31107","31627","32202","31975","32541","32028","33500","32904","31261","30399","28692","26828","25964","26083","26466","28106","32040",
"계","계","70 - 74세","사망률[십만명당]","십만명당","2757.1","2613.8","2489.2","2381.3","2297.2","2161.3","2117.1","2013.1","1979.6","1856.6","1751.2","1710.4","1625.1","1519.3","1431.2","1371.2","1322.8","1354.4","1491.4",
"계","계","75 - 79세","사망자수[명]","명","32549","33557","33772","34587","34024","34553","36987","38060","40789","41226","41399","42666","42367","43132","45173","42208","41835","40713","44581",
"계","계","75 - 79세","사망률[십만명당]","십만명당","4776.4","4614.7","4385.6","4233.2","3921.8","3732.3","3700.2","3522.7","3536.9","3373","3193.5","3152","3008.8","2863.2","2849.4","2632.7","2610.3","2547.8","2778.9",
"계","계","80세이상","사망자수[명]","명","70853","72737","74931","77001","78566","79354","85501","89562","98187","99332","103748","112638","119325","127801","138230","138602","148329","158739","200493",
"계","계","80세이상","사망률[십만명당]","십만명당","11294.9","11053.2","10825.7","10501.5","10009.1","9398.7","9423.9","9245.1","9466.6","8902.6","8597.5","8584.7","8393.2","8342.7","8407.7","7833.7","7824.5","7847.3","9237.2",
"계","계","80 - 84세","사망자수[명]","명","33332","33818","34381","34080","33546","33981","36391","37670","40604","40839","42575","45030","48227","50618","53905","53140","55154","57523","69310",
"계","계","80 - 84세","사망률[십만명당]","십만명당","8350.9","8122.7","7927.8","7535.9","7042.5","6639.7","6575.4","6361.9","6407.6","6020.4","5834.8","5669.6","5579.3","5451.7","5447","5031.4","4964.8","4945","5554.5",
"계","계","85 - 89세","사망자수[명]","명","22754","23659","24504","25797","27570","27439","29383","30833","33078","32877","34239","37792","39709","42481","46046","46366","50632","55126","69769",
"계","계","85 - 89세","사망률[십만명당]","십만명당","13895.1","13616.7","13168.1","12718.3","12260.8","11301","11448.3","11396.3","11570.2","10749.8","10260.7","10351.7","10075.1","9963","9999.8","9280.3","9211.7","9137.8","10775.3",
"계","계","90세이상","사망자수[명]","명","14767","15260","16046","17124","17450","17934","19727","21059","24505","25616","26934","29816","31389","34702","38279","39096","42543","46090","61414",
"계","계","90세이상","사망률[십만명당]","십만명당","22928.7","22449.8","22164.8","21904.7","20837.7","19987.5","20298.7","19852.2","20834.7","19466.5","18787.5","19517.7","19236.5","19603.9","19733.3","18310.7","18091.9","17981.3","22315.5",
"계","계","15세 미만","사망자수[명]","명","4160","3556","3277","3130","2852","2645","2588","2465","2375","2172","2037","1904","1830","1668","1549","1417","1204","1150","1195",
"계","계","15세 미만","사망률[십만명당]","십만명당","43.6","38","35.9","35.2","33","31.5","31.8","31.2","30.8","28.9","27.8","26.6","26.2","24.4","23.1","21.7","18.9","18.5","19.9",
"계","계","15 - 64세","사망자수[명]","명","81656","79169","75125","74254","73119","74347","74347","73512","71788","71121","69684","68347","68239","66122","67464","66548","65886","65450","68297",
"계","계","15 - 64세","사망률[십만명당]","십만명당","233.8","225.6","212.7","208.9","204.3","205.9","204.2","200.4","194.7","192.2","187.7","183.5","182.7","177.2","181.3","179.5","178.9","179.1","188.4",
"계","계","65세 이상","사망자수[명]","명","160394","163140","165752","169095","170135","169902","178400","181401","193009","192928","195929","205603","210716","217703","229764","227074","237831","251055","303429",
"계","계","65세 이상","사망률[십만명당]","십만명당","3994.9","3861.5","3732.6","3590.8","3426.4","3287.3","3335.7","3282.9","3351","3199.2","3111.5","3137.8","3107.4","3080.9","3109.3","2941.9","2923.7","2926.8","3367.5",
"계","계","연령미상","사망자수[명]","명","10","9","8","3","7","48","70","18","49","36","42","41","42","41","43","71","27","25","18",
"계","계","연령미상","사망률[십만명당]","십만명당","","","","","","","","","","","","","","","","","","","",
"계","남자","15 - 19세","사망자수[명]","명","714","669","647","751","690","709","705","699","607","557","572","448","485","424","386","374","365","338","333",
"계","남자","15 - 19세","사망률[십만명당]","십만명당","43.2","40.6","38.8","43.6","38.8","38.7","37.7","37.1","32.6","30.6","32.4","26.1","29.2","26.8","25.8","26.4","27.5","27.2","27.5",
"계","남자","20 - 24세","사망자수[명]","명","1217","1149","951","959","958","936","914","860","853","831","777","788","752","750","728","682","650","689","618",
"계","남자","20 - 24세","사망률[십만명당]","십만명당","59.5","58.6","51.1","54.6","57.1","57","55.8","51.8","49.8","46.9","42.7","42.3","40.1","40.5","40.2","38.8","38","41.6","39.3",
"계","남자","25 - 29세","사망자수[명]","명","1482","1465","1392","1522","1553","1526","1470","1400","1139","1019","958","986","924","953","926","938","1010","1094","1099",
"계","남자","25 - 29세","사망률[십만명당]","십만명당","74.6","73.7","68.8","74","74.9","74.8","75.3","75.6","65.2","61.1","58.6","60.5","55.9","55.9","52.6","51.8","54.5","58.7","59.7",
"계","남자","30 - 34세","사망자수[명]","명","2226","2270","1848","1831","1652","1858","1786","1720","1708","1706","1613","1412","1331","1153","1175","1132","1108","1112","1219",
"계","남자","30 - 34세","사망률[십만명당]","십만명당","96","100.2","84.6","87.1","81.3","93.7","90","85.3","83.4","82.7","79.5","72.7","72.2","66.2","70.7","69.6","68.2","67.5","71.8",
"계","남자","35 - 39세","사망자수[명]","명","3759","3419","3152","2994","3111","3087","2911","2692","2534","2377","2230","1982","1944","1983","2057","1990","1860","1736","1656",
"계","남자","35 - 39세","사망률[십만명당]","십만명당","169.6","152.1","137.7","128.6","133.2","133.5","128.8","123.7","120.9","117.6","113.1","100.4","96.9","97.3","100.1","98.6","96.2","94.5","95.5",
"계","남자","40 - 44세","사망자수[명]","명","6550","5879","5299","5116","4852","4979","4902","4559","4336","4337","4018","3731","3515","3089","3006","2755","2702","2746","2961",
"계","남자","40 - 44세","사망률[십만명당]","십만명당","291.2","265.1","243.7","239.2","225.3","226.1","219.1","200","187.1","186.9","175","166.2","162.5","148.4","149.6","140.6","137.7","137.6","146.1",
"계","남자","45 - 49세","사망자수[명]","명","8911","8748","8622","8400","8284","8079","7795","7159","6872","6496","6260","6141","5787","5647","5653","5328","5035","4775","4590",
"계","남자","45 - 49세","사망률[십만명당]","십만명당","463.7","432.7","406.9","382.7","372.5","363.6","354.9","332","324","304.6","287.3","277.3","256.5","246.1","245.9","234.3","226.3","222.6","222.3",
"계","남자","50 - 54세","사망자수[명]","명","9203","9113","9468","9397","9702","10484","10484","10851","10595","10355","10095","9381","8728","8296","8127","8096","7728","7455","7891",
"계","남자","50 - 54세","사망률[십만명당]","십만명당","694.3","641.1","611.9","566.7","549.2","556.3","527.6","520.4","490.4","473.3","462.1","434.3","411.4","397.3","386.8","377.1","353.8","334.6","348.2",
"계","남자","55 - 59세","사망자수[명]","명","10419","10099","10274","10201","10174","9899","10646","11083","11365","11713","12028","12010","12252","12359","12347","11942","11443","10794","11086",
"계","남자","55 - 59세","사망률[십만명당]","십만명당","980.8","904.9","889.4","854.6","823.5","770","770.1","735.4","703.2","680.4","655","619.9","602.3","585.7","577.3","558.8","540.9","518.6","540.9",
"계","남자","60 - 64세","사망자수[명]","명","14771","13843","12549","11793","11304","11612","11889","12026","12006","11833","11610","12239","12992","13059","13872","14219","14534","15428","16617",
"계","남자","60 - 64세","사망률[십만명당]","십만명당","1553.3","1465.6","1336.2","1256.3","1171.3","1143.4","1111.7","1085.5","1047.7","997","939.1","919.1","893.6","836.5","833","799.7","773.5","780.7","810.5",
"계","남자","65 - 69세","사망자수[명]","명","17893","17690","17504","17535","17379","16435","15923","14905","14258","13496","13714","14103","14345","14172","14568","14417","15240","16916","18722",
"계","남자","65 - 69세","사망률[십만명당]","십만명당","2491.3","2360.8","2249","2111","1992.7","1869.4","1814.8","1701.6","1620.9","1486.3","1431.5","1395.1","1367.7","1303.4","1290.6","1223.9","1198.3","1216.1","1252.8",
"계","남자","70 - 74세","사망자수[명]","명","17010","17649","18548","19003","19985","19977","20638","20649","21513","21203","20272","19661","18776","17571","17340","17633","18128","19110","21785",
"계","남자","70 - 74세","사망률[십만명당]","십만명당","4032.8","3823","3661","3470.2","3409.1","3189.7","3139.1","3006.3","2915.2","2721.7","2568","2482.5","2362.7","2186.5","2077","1995.2","1940.3","1969.2","2164.7",
"계","남자","75 - 79세","사망자수[명]","명","15489","16032","16517","17114","17348","17885","19766","20849","22801","23281","23863","24656","24729","25446","26917","25443","25521","24848","27195",
"계","남자","75 - 79세","사망률[십만명당]","십만명당","6586.9","6414.2","6230.4","6016.6","5640.4","5339.8","5335.4","5089.4","5120.2","4854.5","4624.3","4517.1","4301.7","4082.3","4060.4","3764.6","3741.5","3609.3","3883.5",
"계","남자","80세이상","사망자수[명]","명","24218","25289","25988","27271","28363","28764","30955","32385","35395","36159","38167","41802","44920","48453","53195","54524","59136","64277","80008",
"계","남자","80세이상","사망률[십만명당]","십만명당","13256.9","13143.7","12877","12799.1","12500.6","11803.3","11842.6","11619.8","11778.8","11044.8","10608","10491.2","10213.2","10038.4","10089.4","9445.9","9419.9","9462.5","10793.8",
"계","남자","80 - 84세","사망자수[명]","명","13598","13814","14041","14240","14314","14543","15443","16155","17626","18116","19281","20913","23044","24679","26823","27070","28418","30277","36239",
"계","남자","80 - 84세","사망률[십만명당]","십만명당","10748.9","10493.7","10316","10087.1","9684.3","9199","9058.3","8833.3","8878.6","8336.7","8051.9","7809","7705.7","7521.6","7529.7","6999","6874.6","6891","7572.5",
"계","남자","85 - 89세","사망자수[명]","명","7269","7977","8264","8945","9849","9740","10489","10741","11596","11535","12108","13200","13763","15111","16805","17440","19795","22077","28083",
"계","남자","85 - 89세","사망률[십만명당]","십만명당","16816.7","16953.2","16189.8","15979.3","15923","14595.7","14982.7","14731.7","15147.7","14165.5","13645.2","13605.3","13053.7","12960.1","12975.7","12076.9","12110.4","11982.4","13901.3",
"계","남자","90세이상","사망자수[명]","명","3351","3498","3683","4086","4200","4481","5023","5489","6173","6508","6778","7689","8113","8663","9567","10014","10923","11923","15686",
"계","남자","90세이상","사망률[십만명당]","십만명당","25875.4","25516.1","25115.9","25665","24371.8","23749.2","24039.2","23960.5","24280.7","22714.7","21448.7","22869","22958.9","22815.7","23052.7","21749","21439.9","21418.6","25860.2",
"계","남자","15세 미만","사망자수[명]","명","2371","2003","1871","1776","1575","1471","1530","1413","1361","1226","1123","1088","1040","957","865","803","694","646","683",
"계","남자","15세 미만","사망률[십만명당]","십만명당","47.2","40.7","39","38.1","34.8","33.6","36.2","34.4","34","31.5","29.6","29.5","28.9","27.1","25.1","23.9","21.2","20.3","22.2",
"계","남자","15 - 64세","사망자수[명]","명","59252","56654","54202","52964","52280","53169","53502","53049","52015","51224","50161","49118","48710","47713","48277","47456","46435","46167","48070",
"계","남자","15 - 64세","사망률[십만명당]","십만명당","334.2","317.7","301.8","292.8","286.6","288.7","288","283.3","276.3","271.1","264.6","258.3","255.5","250.4","254.1","250.7","246.8","247.3","259.6",
"계","남자","65세 이상","사망자수[명]","명","74610","76660","78557","80923","83075","83061","87282","88788","93967","94139","96016","100222","102770","105642","112020","112017","118025","125151","147710",
"계","남자","65세 이상","사망률[십만명당]","십만명당","4789.3","4636.7","4484.3","4314.1","4168.7","3985.5","4028.3","3944.1","3975.9","3774.6","3660.2","3648.2","3595.5","3525.1","3551.9","3379.3","3356.8","3356","3746.8",
"계","남자","연령미상","사망자수[명]","명","2","0","1","1","2","34","44","0","29","10","21","21","9","16","25","46","9","3","2",
"계","남자","연령미상","사망률[십만명당]","십만명당","","","","","","","","","","","","","","","","","","","",
"계","여자","15 - 19세","사망자수[명]","명","311","331","311","320","314","364","329","304","298","255","298","237","233","202","234","236","198","198","217",
"계","여자","15 - 19세","사망률[십만명당]","십만명당","20.6","22.2","20.7","20.8","19.9","22.5","20","18.3","18.1","15.7","18.7","15.1","15.3","13.9","17","18.1","16.2","17.2","19.2",
"계","여자","20 - 24세","사망자수[명]","명","592","720","548","670","567","571","497","458","402","386","354","367","379","337","416","444","468","449","455",
"계","여자","20 - 24세","사망률[십만명당]","십만명당","30.6","39.1","31.5","41","36.6","37.9","33.4","30.5","26.1","24.5","21.9","22.3","22.8","20.5","25.6","27.8","30","29.5","31.4",
"계","여자","25 - 29세","사망자수[명]","명","724","843","724","929","954","1018","879","758","594","546","491","493","450","431","458","497","578","546","585",
"계","여자","25 - 29세","사망률[십만명당]","십만명당","38","44.2","37.5","47.4","48.3","52.5","47.6","43.4","36.2","35","32.4","32.9","29.8","27.9","28.9","30.7","35","32.8","35.4",
"계","여자","30 - 34세","사망자수[명]","명","1113","1200","990","1187","1093","1182","1023","1059","1019","964","911","903","791","696","686","656","644","658","618",
"계","여자","30 - 34세","사망률[십만명당]","십만명당","50","55.2","47.1","58.5","55.8","62","53.6","54.7","51.9","48.7","46.9","48.7","45.1","42.2","43.8","43.1","42.7","43.4","39.8",
"계","여자","35 - 39세","사망자수[명]","명","1606","1628","1488","1580","1533","1631","1553","1370","1208","1226","1186","1121","1120","1079","1147","1127","1147","1035","934",
"계","여자","35 - 39세","사망률[십만명당]","십만명당","75.2","75","67.1","70.1","68.2","73.5","71.5","65.3","59.6","62.7","62.3","58.8","57.9","55","58","58","61.9","59","56.6",
"계","여자","40 - 44세","사망자수[명]","명","2424","2218","1989","1967","2008","2021","1988","2017","1982","1937","1836","1806","1677","1591","1507","1464","1453","1471","1607",
"계","여자","40 - 44세","사망률[십만명당]","십만명당","112.5","104.6","96.4","96.9","97.1","94.9","91.8","91.1","88.1","86.5","82.9","83.4","80.2","78.7","77.3","77.2","76.4","76.2","82.2",
"계","여자","45 - 49세","사망자수[명]","명","2951","3061","2906","3081","2990","2891","2894","2611","2539","2500","2497","2483","2405","2375","2418","2373","2384","2230","2381",
"계","여자","45 - 49세","사망률[십만명당]","십만명당","158.4","155.8","141","144.3","138.7","134.7","136.8","126.7","125.3","121.2","117.6","115","109","106","108.3","107.6","110.6","107.1","118.3",
"계","여자","50 - 54세","사망자수[명]","명","3002","3123","3274","3191","3370","3504","3633","3585","3653","3750","3533","3228","3199","2964","3080","3000","3074","3205","3285",
"계","여자","50 - 54세","사망률[십만명당]","십만명당","229.1","221.8","213.1","194.5","193.8","189","185.5","174.4","171.6","174.5","165.3","153.3","156","146.9","149.9","142.1","143.2","146","147.4",
"계","여자","55 - 59세","사망자수[명]","명","3635","3651","3630","3524","3515","3495","3541","3770","3773","3936","4139","4134","4436","4072","4320","4253","4145","3959","4079",
"계","여자","55 - 59세","사망률[십만명당]","십만명당","334.3","322","309.7","291.5","281","268.9","253.1","246.7","231.2","227.7","224.7","212.5","217.3","192.6","202.4","200.3","198.1","194.3","203.5",
"계","여자","60 - 64세","사망자수[명]","명","6046","5740","5063","4841","4495","4501","4508","4531","4305","4397","4278","4457","4839","4662","4921","5042","5360","5532","6066",
"계","여자","60 - 64세","사망률[십만명당]","십만명당","565.7","544.9","489.6","474.6","434.9","420","402.8","391.5","360.3","355.6","332.9","322.2","320.1","288.7","287.7","276.5","278.3","273.6","289.8",
"계","여자","65 - 69세","사망자수[명]","명","9184","8768","8438","8345","7964","7585","7448","6846","6275","5970","5807","5797","5987","5770","5829","5764","5961","6581","7593",
"계","여자","65 - 69세","사망률[십만명당]","십만명당","1017.1","945.3","887.8","834.5","766.5","729.5","725.3","678.2","629.1","589.8","552.7","527.7","526.6","491.1","478.9","455.3","437.1","441.4","476.6",
"계","여자","70 - 74세","사망자수[명]","명","12905","12739","12559","12624","12217","11998","11903","11379","11987","11701","10989","10738","9916","9257","8624","8450","8338","8996","10255",
"계","여자","70 - 74세","사망률[십만명당]","십만명당","1945.8","1817.4","1690.2","1617.3","1498","1406.3","1353.2","1258.5","1256.1","1178","1103.7","1089.8","1021.4","962.1","880.6","829.7","781.9","814.3","898",
"계","여자","75 - 79세","사망자수[명]","명","17060","17525","17255","17473","16676","16668","17221","17211","17988","17945","17536","18010","17638","17686","18256","16765","16314","15865","17386",
"계","여자","75 - 79세","사망률[십만명당]","십만명당","3822.4","3672.2","3417.1","3280.8","2977.9","2821","2737.3","2565.9","2540.9","2416.3","2247.3","2229.5","2116.8","2002.7","1979.1","1807.7","1772.2","1744.3","1923.3",
"계","여자","80세이상","사망자수[명]","명","46635","47448","48943","49730","50203","50590","54546","57177","62792","63173","65581","70836","74405","79348","85035","84078","89193","94462","120485",
"계","여자","80세이상","사망률[십만명당]","십만명당","10488.7","10189.4","9981.4","9560.3","8996.1","8423","8445","8286","8523.5","8013","7743.3","7753.2","7577.9","7562.6","7613.8","7053.1","7034.5","7030.7","8429.8",
"계","여자","80 - 84세","사망자수[명]","명","19734","20004","20340","19840","19232","19438","20948","21515","22978","22723","23294","24117","25183","25939","27082","26070","26736","27246","33071",
"계","여자","80 - 84세","사망률[십만명당]","십만명당","7238.2","7026.4","6835.4","6378.1","5853.9","5495.8","5470.1","5257.4","5280.3","4928.7","4751.8","4581.2","4454.5","4320.5","4275.6","3894.6","3832.9","3763.9","4299.2",
"계","여자","85 - 89세","사망자수[명]","명","15485","15682","16240","16852","17721","17699","18894","20092","21482","21342","22131","24592","25946","27370","29241","28926","30837","33049","41686",
"계","여자","85 - 89세","사망률[십만명당]","십만명당","12847.4","12377.6","12025.9","11475.2","10871.1","10052.3","10122.7","10165.8","10261.9","9510.3","9034.6","9174.1","8987.3","8835","8835.2","8143.3","7984.8","7887","9357.7",
"계","여자","90세이상","사망자수[명]","명","11416","11762","12363","13038","13250","13453","14704","15570","18332","19108","20156","22127","23276","26039","28712","29082","31620","34167","45728",
"계","여자","90세이상","사망률[십만명당]","십만명당","22187","21675.1","21415.2","20943.1","19922","18985.9","19274.2","18720.6","19884.4","18562.4","18035","18572","18207.6","18726.8","18829.8","17365.4","17165.9","17027.7","21313.4",
"계","여자","15세 미만","사망자수[명]","명","1789","1553","1406","1354","1277","1174","1058","1052","1014","946","914","816","790","711","684","614","510","504","512",
"계","여자","15세 미만","사망률[십만명당]","십만명당","39.6","35","32.4","32.1","31","29.3","27.1","27.7","27.3","26.1","25.8","23.6","23.4","21.4","21","19.3","16.4","16.7","17.5",
"계","여자","15 - 64세","사망자수[명]","명","22404","22515","20923","21290","20839","21178","20845","20463","19773","19897","19523","19229","19529","18409","19187","19092","19451","19283","20227",
"계","여자","15 - 64세","사망률[십만명당]","십만명당","130.3","130.4","120.5","122","118.7","119.7","117","114","109.5","109.8","107.4","105.5","106.8","100.8","105.4","105.2","107.9","107.9","114.1",
"계","여자","65세 이상","사망자수[명]","명","85784","86480","87195","88172","87060","86841","91118","92613","99042","98789","99913","105381","107946","112061","117744","115057","119806","125904","155719",
"계","여자","65세 이상","사망률[십만명당]","십만명당","3491.2","3363.1","3242.9","3112","2928.8","2815.5","2864","2828.3","2916.1","2793.4","2719.7","2769.3","2751.7","2753.8","2779.8","2612.6","2593.9","2596.6","3072.4",
"계","여자","연령미상","사망자수[명]","명","8","9","7","2","5","14","26","18","20","26","21","20","33","25","18","25","18","22","16",
"계","여자","연령미상","사망률[십만명당]","십만명당","","","","","","","","","","","","","","","","","","","",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","15 - 19세","사망자수[명]","명","18","16","9","12","12","9","14","8","9","2","8","7","5","4","5","4","4","1","17",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","15 - 19세","사망률[십만명당]","십만명당",".6",".5",".3",".4",".4",".3",".4",".2",".3",".1",".2",".2",".2",".1",".2",".1",".2","0",".7",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","20 - 24세","사망자수[명]","명","36","26","27","15","22","15","16","19","11","13","10","6","14","13","9","9","10","7","30",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","20 - 24세","사망률[십만명당]","십만명당",".9",".7",".7",".4",".7",".5",".5",".6",".3",".4",".3",".2",".4",".4",".3",".3",".3",".2","1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","25 - 29세","사망자수[명]","명","69","58","52","42","37","36","39","34","15","23","12","23","10","14","16","9","16","19","49",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","25 - 29세","사망률[십만명당]","십만명당","1.8","1.5","1.3","1",".9",".9","1",".9",".4",".7",".4",".7",".3",".4",".5",".3",".5",".5","1.4",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","30 - 34세","사망자수[명]","명","114","117","84","79","75","67","62","64","42","42","28","45","27","17","26","14","17","18","59",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","30 - 34세","사망률[십만명당]","십만명당","2.5","2.6","2","1.9","1.9","1.7","1.6","1.6","1","1",".7","1.2",".8",".5",".8",".4",".5",".6","1.8",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","35 - 39세","사망자수[명]","명","175","142","148","141","123","120","125","82","83","63","56","46","50","34","28","43","45","64","81",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","35 - 39세","사망률[십만명당]","십만명당","4","3.2","3.3","3.1","2.7","2.6","2.8","1.9","2","1.6","1.4","1.2","1.3",".9",".7","1.1","1.2","1.8","2.4",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","40 - 44세","사망자수[명]","명","296","271","266","249","219","228","205","198","162","129","131","106","85","74","78","67","82","89","170",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","40 - 44세","사망률[십만명당]","십만명당","6.7","6.2","6.3","6","5.2","5.3","4.7","4.4","3.5","2.8","2.9","2.4","2","1.8","2","1.7","2.1","2.3","4.3",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","45 - 49세","사망자수[명]","명","374","407","394","373","370","332","323","262","236","231","223","194","177","163","169","154","140","179","291",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","45 - 49세","사망률[십만명당]","십만명당","9.9","10.2","9.4","8.6","8.4","7.6","7.5","6.2","5.7","5.5","5.2","4.4","4","3.6","3.7","3.4","3.2","4.2","7.1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","50 - 54세","사망자수[명]","명","349","344","370","401","356","366","400","381","367","317","354","308","281","254","235","246","199","323","527",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","50 - 54세","사망률[십만명당]","십만명당","13.2","12.2","12","12.2","10.2","9.8","10.1","9.2","8.6","7.3","8.2","7.2","6.7","6.2","5.7","5.8","4.6","7.3","11.7",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","55 - 59세","사망자수[명]","명","358","377","357","348","336","341","370","364","369","333","368","362","358","342","365","375","331","497","894",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","55 - 59세","사망률[십만명당]","십만명당","16.7","16.8","15.3","14.5","13.5","13.2","13.3","12","11.4","9.7","10","9.3","8.8","8.1","8.5","8.8","7.9","12.1","22.1",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","60 - 64세","사망자수[명]","명","410","419","401","374","356","337","427","424","372","361","364","344","379","398","377","426","485","823","1645",
"특정 감염성 및 기생충성 질환 (A00-B99, U07.1, U07.2, U10)","계","60 - 64세","사망률[십만명당]","십만명당","20.3","21","20.3","19.1","17.8","16.1","19.5","18.7","15.9","14.9","14.4","12.7","12.8","12.5","11.2","11.8","12.7","20.6","39.7",
